award_name,award_url,award_category,year,winner,notes,table_index,row_index,raw_cells
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1987","Tanduay","conference: Open; Series: 4–1; Runner-up: Great Taste; Third place: Magnolia; Winning coach: Turo Valenzona","1","36","[""1987"",""Open"",""Tanduay"",""4–1"",""Great Taste"",""Magnolia"",""Turo Valenzona""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1987","Great Taste","conference: All-Filipino; Series: 3–0; Runner-up: Hills Bros.; Third place: Magnolia; Winning coach: Baby Dalupan","1","37","[""1987"",""All-Filipino"",""Great Taste"",""3–0"",""Hills Bros."",""Magnolia"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1987","San Miguel","conference: Reinforced; Series: 4–1; Runner-up: Hills Bros.; Third place: Ginebra; Winning coach: Norman Black","1","38","[""1987"",""Reinforced"",""San Miguel"",""4–1"",""Hills Bros."",""Ginebra"",""Norman Black""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1988","San Miguel","conference: Open; Series: 4–3; Runner-up: Purefoods; Third place: Alaska; Winning coach: Norman Black","1","39","[""1988"",""Open"",""San Miguel"",""4–3"",""Purefoods"",""Alaska"",""Norman Black""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1988","Añejo","conference: All-Filipino; Series: 3–1; Runner-up: Purefoods; Third place: Alaska; Winning coach: Robert Jaworski","1","40","[""1988"",""All-Filipino"",""Añejo"",""3–1"",""Purefoods"",""Alaska"",""Robert Jaworski""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1988","San Miguel","conference: Reinforced; Series: 4–1; Runner-up: Shell; Third place: Añejo; Winning coach: Norman Black","1","41","[""1988"",""Reinforced"",""San Miguel"",""4–1"",""Shell"",""Añejo"",""Norman Black""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1989","San Miguel","conference: Open; Series: 4–1; Runner-up: Shell; Third place: Alaska; Winning coach: Norman Black","1","42","[""1989"",""Open"",""San Miguel"",""4–1"",""Shell"",""Alaska"",""Norman Black""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1989","San Miguel","conference: All-Filipino; Series: 4–2; Runner-up: Purefoods; Third place: Shell; Winning coach: Norman Black","1","43","[""1989"",""All-Filipino"",""San Miguel"",""4–2"",""Purefoods"",""Shell"",""Norman Black""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1989","San Miguel","conference: Reinforced; Series: 4–1; Runner-up: Añejo; Third place: Alaska; Winning coach: Norman Black","1","44","[""1989"",""Reinforced"",""San Miguel"",""4–1"",""Añejo"",""Alaska"",""Norman Black""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1990","Shell","conference: First Conference; Series: 4–2; Runner-up: Añejo; Third place: San Miguel; Winning coach: Arlene Rodriguez","1","45","[""1990"",""First Conference"",""Shell"",""4–2"",""Añejo"",""San Miguel"",""Arlene Rodriguez""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1990","Presto","conference: All-Filipino; Series: 4–3; Runner-up: Purefoods; Third place: Añejo; Winning coach: Jimmy Mariano","1","46","[""1990"",""All-Filipino"",""Presto"",""4–3"",""Purefoods"",""Añejo"",""Jimmy Mariano""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1990","Purefoods","conference: Third Conference; Series: 3–2; Runner-up: Alaska; Third place: Shell; Winning coach: Baby Dalupan","1","47","[""1990"",""Third Conference"",""Purefoods"",""3–2"",""Alaska"",""Shell"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1991","Ginebra","conference: First Conference; Series: 4–3; Runner-up: Shell; Third place: Diet Sarsi; Winning coach: Robert Jaworski","1","48","[""1991"",""First Conference"",""Ginebra"",""4–3"",""Shell"",""Diet Sarsi"",""Robert Jaworski""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1991","Purefoods","conference: All-Filipino; Series: 3–2; Runner-up: Diet Sarsi; Third place: Alaska; Winning coach: Ely Capacio","1","49","[""1991"",""All-Filipino"",""Purefoods"",""3–2"",""Diet Sarsi"",""Alaska"",""Ely Capacio""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1991","Alaska","conference: Third Conference; Series: 3–1; Runner-up: Ginebra; Third place: San Miguel; Winning coach: Tim Cone","1","50","[""1991"",""Third Conference"",""Alaska"",""3–1"",""Ginebra"",""San Miguel"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1992","Shell","conference: First Conference; Series: 4–1; Runner-up: San Miguel; Third place: Alaska; Winning coach: Rino Salazar","1","51","[""1992"",""First Conference"",""Shell"",""4–1"",""San Miguel"",""Alaska"",""Rino Salazar""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1992","San Miguel","conference: All-Filipino; Series: 4–3; Runner-up: Purefoods; Third place: Swift; Winning coach: Norman Black","1","52","[""1992"",""All-Filipino"",""San Miguel"",""4–3"",""Purefoods"",""Swift"",""Norman Black""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1992","Swift","conference: Third Conference; Series: 4–0; Runner-up: 7-Up; Third place: Ginebra; Winning coach: Yeng Guiao","1","53","[""1992"",""Third Conference"",""Swift"",""4–0"",""7-Up"",""Ginebra"",""Yeng Guiao""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1993","Coney Island","conference: All-Filipino; Series: 4–2; Runner-up: San Miguel; Third place: Swift; Winning coach: Chot Reyes","1","54","[""1993"",""All-Filipino"",""Coney Island"",""4–2"",""San Miguel"",""Swift"",""Chot Reyes""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1993","Swift","conference: Commissioner's; Series: 4–2; Runner-up: Purefoods; Third place: San Miguel; Winning coach: Yeng Guiao","1","55","[""1993"",""Commissioner's"",""Swift"",""4–2"",""Purefoods"",""San Miguel"",""Yeng Guiao""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1993","San Miguel","conference: Governors'; Series: 4–1; Runner-up: Swift; Third place: Sta. Lucia; Winning coach: Norman Black","1","56","[""1993"",""Governors'"",""San Miguel"",""4–1"",""Swift"",""Sta. Lucia"",""Norman Black""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1994","San Miguel","conference: All-Filipino; Series: 4–2; Runner-up: Coney Island; Third place: Alaska; Winning coach: Norman Black","1","57","[""1994"",""All-Filipino"",""San Miguel"",""4–2"",""Coney Island"",""Alaska"",""Norman Black""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1994","Purefoods","conference: Commissioner's; Series: 4–1; Runner-up: Alaska; Third place: Swift; Winning coach: Chot Reyes","1","58","[""1994"",""Commissioner's"",""Purefoods"",""4–1"",""Alaska"",""Swift"",""Chot Reyes""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1994","Alaska","conference: Governors'; Series: 4–2; Runner-up: Swift; Third place: Pepsi; Winning coach: Tim Cone","1","59","[""1994"",""Governors'"",""Alaska"",""4–2"",""Swift"",""Pepsi"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1995","Sunkist","conference: All-Filipino; Series: 4–3; Runner-up: Alaska; Third place: Sta. Lucia; Winning coach: Derrick Pumaren","1","60","[""1995"",""All-Filipino"",""Sunkist"",""4–3"",""Alaska"",""Sta. Lucia"",""Derrick Pumaren""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1995","Sunkist","conference: Commissioner's; Series: 4–2; Runner-up: Alaska; Third place: Sta. Lucia; Winning coach: Derrick Pumaren","1","61","[""1995"",""Commissioner's"",""Sunkist"",""4–2"",""Alaska"",""Sta. Lucia"",""Derrick Pumaren""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1995","Alaska","conference: Governors'; Series: 4–3; Runner-up: San Miguel; Third place: Sunkist; Winning coach: Tim Cone","1","62","[""1995"",""Governors'"",""Alaska"",""4–3"",""San Miguel"",""Sunkist"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1996","Alaska","conference: All-Filipino; Series: 4–1; Runner-up: Purefoods; Third place: San Miguel; Winning coach: Tim Cone","1","63","[""1996"",""All-Filipino"",""Alaska"",""4–1"",""Purefoods"",""San Miguel"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1996","Alaska","conference: Commissioner's; Series: 4–3; Runner-up: Shell; Third place: Sta. Lucia; Winning coach: Tim Cone","1","64","[""1996"",""Commissioner's"",""Alaska"",""4–3"",""Shell"",""Sta. Lucia"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1996","Alaska","conference: Governors'; Series: 4–1; Runner-up: Ginebra; Third place: Shell; Winning coach: Tim Cone","1","65","[""1996"",""Governors'"",""Alaska"",""4–1"",""Ginebra"",""Shell"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1997","Purefoods","conference: All-Filipino; Series: 4–2; Runner-up: Gordon's Gin; Third place: Sta. Lucia; Winning coach: Eric Altamirano","1","66","[""1997"",""All-Filipino"",""Purefoods"",""4–2"",""Gordon's Gin"",""Sta. Lucia"",""Eric Altamirano""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1997","Gordon's Gin","conference: Commissioner's; Series: 4–2; Runner-up: Alaska; Third place: San Miguel; Winning coach: Robert Jaworski","1","67","[""1997"",""Commissioner's"",""Gordon's Gin"",""4–2"",""Alaska"",""San Miguel"",""Robert Jaworski""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1997","Alaska","conference: Governors'; Series: 4–1; Runner-up: Purefoods; Third place: San Miguel; Winning coach: Tim Cone","1","68","[""1997"",""Governors'"",""Alaska"",""4–1"",""Purefoods"",""San Miguel"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1998","Alaska","conference: All-Filipino; Series: 4–3; Runner-up: San Miguel; Third place: Pop Cola; Winning coach: Tim Cone","1","69","[""1998"",""All-Filipino"",""Alaska"",""4–3"",""San Miguel"",""Pop Cola"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1998","Alaska","conference: Commissioner's; Series: 4–2; Runner-up: San Miguel; Third place: Pop Cola; Winning coach: Tim Cone","1","70","[""1998"",""Commissioner's"",""Alaska"",""4–2"",""San Miguel"",""Pop Cola"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1998","Mobiline","conference: Centennial; Series: 1–0; Runner-up: Shell; Third place: Pop Cola; Winning coach: Eric Altamirano","1","71","[""1998"",""Centennial"",""Mobiline"",""1–0"",""Shell"",""Pop Cola"",""Eric Altamirano""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1998","Shell","conference: Governors'; Series: 4–3; Runner-up: Mobiline; Third place: Purefoods; Winning coach: Perry Ronquillo","1","72","[""1998"",""Governors'"",""Shell"",""4–3"",""Mobiline"",""Purefoods"",""Perry Ronquillo""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1999","Shell","conference: All-Filipino; Series: 4–2; Runner-up: Tanduay; Third place: Barangay Ginebra; Winning coach: Perry Ronquillo","1","73","[""1999"",""All-Filipino"",""Shell"",""4–2"",""Tanduay"",""Barangay Ginebra"",""Perry Ronquillo""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1999","San Miguel","conference: Commissioner's; Series: 4–2; Runner-up: Shell; Third place: Alaska; Winning coach: Jong Uichico","1","74","[""1999"",""Commissioner's"",""San Miguel"",""4–2"",""Shell"",""Alaska"",""Jong Uichico""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1999","San Miguel","conference: Governors'; Series: 4–2; Runner-up: Alaska; Third place: Tanduay; Winning coach: Jong Uichico","1","75","[""1999"",""Governors'"",""San Miguel"",""4–2"",""Alaska"",""Tanduay"",""Jong Uichico""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","2000","Alaska","conference: All-Filipino; Series: 4–1; Runner-up: Purefoods; Third place: Tanduay; Winning coach: Tim Cone","1","76","[""2000"",""All-Filipino"",""Alaska"",""4–1"",""Purefoods"",""Tanduay"",""Tim Cone""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","2000","San Miguel","conference: Commissioner's; Series: 4–1; Runner-up: Sta. Lucia; Third place: Alaska; Winning coach: Jong Uichico","1","77","[""2000"",""Commissioner's"",""San Miguel"",""4–1"",""Sta. Lucia"",""Alaska"",""Jong Uichico""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","2000","San Miguel","conference: Governors'; Series: 4–1; Runner-up: Purefoods; Third place: Red Bull; Winning coach: Jong Uichico","1","78","[""2000"",""Governors'"",""San Miguel"",""4–1"",""Purefoods"",""Red Bull"",""Jong Uichico""]"
